;;;;;;;ERRORES;COMPARE V01 (03-04);COMPARE V02 (09-04);COMPARE V03 (12-04)
1;La   ;;ART;ART;2;det;se separado;2;2;2
2;policía;;N;N;3;nsubj;subordinada;3;3;3
3;descubre;;V;V;0;ROOT;;0;0;0
4;un;;ART;ART;6;det;;6;6;6
5;gran;;ADJ;ADJ;6;amod;;6;6;6
6;arsenal;;N;N;3;dobj;;3;3;3
7;de ;;PREP;PREP;8;case;;8;8;8
8;ETA;;N;N;6;nmod;;6;6;6
9;en;;PREP;PREP;10;case;;10;10;10
10;Francia;;N;N;3;nmod;;3;3;3
11;tras;;PREP;PREP;12;case;;12;12;12
12;producir ;;V;V;3;advcl;;3;3;3
13;se ;;P;P;12;mark;;;;
14;un;;ART;ART;15;det;;14;14;14
15;incendio;;N;N;12;dobj;;12;12;12
16;en;;PREP;PREP;18;case;;17;17;17
17;un ;;ART;ART;18;det;;17;17;17
18;chalé;;N;N;12;nmod;;12;12;12
19;.;;PUNCT;PUNCT;3;punct;;3;3;3
;;;;;;;;;;
1;El  ;;ART;ART;2;det;;2;;
2;presidente;;N;N;12;nsubj;;12;;
3;de ;;PREP;PREP;4;case;;4;;
4;Colombia;;N;N;2;nmod;;2;;
5;y;;C;C;7;c;;2;;
6;el;;ART;ART;7;det;;7;;
7;jefe;;N;N;2;conj;;2;;
8;de ;;PREP;PREP;10;case;;10;;
9;las;;ART;ART;10;det;;10;;
10;FARC;;N;N;7;nmod;;7;;
11;se;;P;P;12;dobj;;12;;
12;reúnen;;V;V;0;ROOT;;0;;
13;en;;PREP;PREP;15;case;;15;;
14;la;;ART;ART;15;det;;15;;
15;selva;;N;N;12;nmod/ obl;;12;;
16;y ;;C;C;17;c;;12;;
17;activan;;V;V;12;conj;;12;;
18;el ;;ART;ART;19;det;;19;;
19;proceso;;N;N;17;dobj;;17;;
20;de ;;PREP;PREP;21;case;;21;;
21;paz;;N;N;19;nmod;;19;;
22;.;;PUNCT;PUNCT;12;punct;;12;;
;;;;;;;;;;
1;La  ;;ART;ART;2;det;;2;;
2;viuda;;N;N;5;nsubj;;5;;
3;de ;;PREP;PREP;4;case;;4;;
4;Arias;;NPR;NPR;2;nmod;;2;;
5;gana;;V;V;0;ROOT;;0;;
6;las;;ART;ART;7;det;;7;;
7;elecciones;;N;N;5;dobj;;5;;
8;a;;PREP;PREP;10;case;;10;;
9;el;;ART;ART;10;det;;10;;
10;hijo;;N;N;5;iobj;;5;;
12;de ;;PREP;PREP;13;case;;12;;
13;Torrijos;;NPR;NPR;10;nmod;;10;;
14;en ;;PREP;PREP;15;case;;14;;
15;Panamá;;NPR;NPR;5;nmod;;5;;
16;.;;PUNCT;PUNCT;5;punct;;5;;
;;;;;;;;;;
1;Europa;;NPR;NPR;3;nsubj;subordinada;3;3;
2;se;;P;P;3;mark;;3;3;
3;hizo;;V;V;0;ROOT;;0;0;
4;peregrinando;;V;V;3;advcl;;3;3;
5;a;;PREP;PREP;6;case;;6;6;
6;Compostela;;N;N;4;nmod;;4;4;
7;.;;;;3;punct;;3;3;
;;;;;;;;;;
1;Las  ;;ART;ART;2;det;;2;;
2;palabras;;N;N;6;nsubj;;6;;
3;de ;;PREP;PREP;4;case;;4;;
4;Goethe;;NPR;NPR;2;nmod;;2;;
5;se;;P;P;6;mark;;6;;
6;convierten;;V;V;0;ROOT;;0;;
7;en;;PREP;PREP;8;case;;8;;
8;realidad;;N;N;6;nmod;;6;;
9;en;;PREP;PREP;12;case;;12;;
10;este;;DET;DET;12;det;;12;;
11;último;;ADJ;ADJ;12;amod;;12;;
12;jacobeo;;N;N;6;nmod;;6;;
13;del;;PREP;PREP;14;case;;15;;
14;milenio;;N;N;12;nmod;;15;;
15;.;;PUNCT;PUNCT;6;punct;;12;;
;;;;;;;;6;;
1;A ;;PREP;PREP;3;case;falla el punct;3;3;
2;las;;ART;ART;3;det;;3;3;
3;puertas;;N;N;15;ROOT;;15;15;
4;de ;;PREP;PREP;6;case;;6;6;
5;el;;ART;ART;6;det;;6;6;
6;año;;N;N;3;nmod;;3;3;
7;2000;;N;N;6;appos;;6;6;
8;;;PUNCT;PUNCT;15;punct;;3;3;
9;cientos;;N;N;15;nsubj;;15;15;
10;de;;PREP;PREP;11;case;;11;11;
11;miles;;N;N;9;nmod;;9;9;
12;de;;PREP;PREP;13;case;;13;13;
13;peregrinos;;N;N;11;nmod;;11;11;
14;se ;;P;P;15;mark;;15;15;
15;disponen;;V;V;0;ROOT;;0;0;
16;a  ;;PREP;PREP;17;case;;17;17;
17;vivir;;V;V;15;xcomp;;15;15;
18;el  ;;ART;ART;19;det;;19;19;
19;Camino_de_Santiago;;NPR;NPR;17;dobj;;17;17;
20;.;;PUNCT;PUNCT;15;punct;;15;15;
;;;;;;;;;;
1;Una  ;;Q;Q;2;det;;2;;
2;nave;;N;N;4;nsubj;;4;;
3;interestelar;;ADJ;ADJ;2;amod;;2;;
4;surca;;V;V;0;ROOT;;0;;
5;el;;ART;ART;6;det;;6;;
6;cosmos;;N;N;4;dobj;;4;;
7;.;;PUNCT;PUNCT;4;punct;;4;;
;;;;;;;;;;
1;Taylor;;NPR;NPR;0;ROOT;;;;
;;;;;;;;;;
1;El  ;;ART;ART;2;det;;2;;
2;resto;;N;N;0;ROOT;;13;;
3;de ;;PREP;PREP;5;case;;5;;
4;la;;ART;ART;5;det;;5;;
5;tripulación;;N;N;2;nmod;;2;;
6;;;PUNCT;PUNCT;13;punct;;2;;
7;dos;;Q;Q;8;det;;8;;
8;hombres;;N;N;2;appos;;2;;
9;y;;C;C;11;c;;8;;
10;una;;Q;Q;11;det;;11;;
11;mujer;;N;N;8;conj;;8;;
12;;;PUNCT;PUNCT;13;punct;;2;;
13;hiberna;;V;V;0;ROOT;;0;;
14;en;;PREP;PREP;15;case;;15;;
15;tanques;;N;N;13;nmod;;13;;
16;criogénicos;;ADJ;ADJ;15;amod;;15;;
17;.;;PUNCT;PUNCT;13;punct;;13;;
;;;;;;;;;;
1;El  ;;ART;ART;2;det;;2;;
2;silencio;;N;N;4;nsubj;;3;;
3;es;;V;V;4;cop;;0;;
4;absoluto;;ADJ;ADJ;0;ROOT;;3;;
5;.;;PUNCT;PUNCT;4;punct;;3;;
;;;;;;;;;;
1;Así;;ADV;ADV;2;advmod;;;;
2;comienza;;V;V;0;ROOT;;;;
3;uno;;P ;P;2;nsubj;;;;
4;de ;;PREP;PREP;6;case;;;;
5;los;;ART;ART;6;det;;;;
6;filmes;;N;N;3;nmod;;;;
7;más;;ADV;ADV;8;advmod;;;;
8;emblemáticos;;ADJ;ADJ;6;amod;;;;
9;de ;;PREP;PREP;11;case;;;;
10;la;;ART;ART;11;det;;;;
11;ciencia-ficción;;N;N;8;nmod;;;;
15;:;;PUNCT;PUNCT;2;punct;;;;
16;El_planeta_de_los_simios;;NPR;NPR;3;appos;;;;
17;(;;PUNCT;PUNCT;2;punct;;;;
18;1968;;DATE;DATE;16;appos;;;;
19;);;PUNCT;PUNCT;2;punct;;;;
20;.;;PUNCT;PUNCT;2;punct;;;;
;;;;;;;;;;
1;Los  ;;ART;ART;2;det;;2;;
2;planos;;N;N;11;nsubj;;11;;
3;iniciales;;ADJ;ADJ;2;amod;;2;;
4;de ;;PREP;PREP;5;case;;5;;
5;Taylor;;N;N;2;nmod;;2;;
6;y;;CONJ;CONJ;8;c;;5;;
7;la;;ART;ART;8;det;;8;;
8;nave;;N;N;2;conj;;5;;
9;espacial;;ADJ;ADJ;8;amod;;8;;
10;se ;;P;P;11;mark;;11;;
11;centran;;V;V;0;ROOT;;0;;
12;en;;PREP;PREP;14;case;;14;;
13;el;;ART;ART;14;det;;14;;
14;cuadro;;N;N;11;nmod;;11;;
15;de ;;PREP;PREP;16;case;;16;;
16;mandos;;N;N;14;nmod;;14;;
17;.;;PUNCT;PUNCT;11;punct;;11;;
;;;;;;;;;;
1;Allí;;ADV;ADV;5;advmod;;5;;
2;;;PUNCT;PUNCT;5;punct;;5;;
3;dos;;Q;Q;4;det;;4;;
4;relojes;;N;N;5;nsubj;;5;;
5;registran;;V;V;0;ROOT;;0;;
6;la;;ART;ART;7;det;;7;;
7;fecha;;N;N;5;dobj;;5;;
8;actual;;ADJ;ADJ;7;amod;;7;;
9;;;PUNCT;PUNCT;5;punct;;7;;
10;en;;PREP;PREP;12;case;;12;;
11;la;;ART;ART;12;det;;12;;
12;nave;;N;N;5;nmod;;7;;
13;y;;C;C;16;c;;12;;
14;en;;PREP;PREP;16;case;;16;;
15;la;;ART;ART;16;det;;16;;
16;Tierra;;NPR;NPR;12;nmod;;12;;
17;.;;PUNCT;PUNCT;5;punct;;5;;
;;;;;;;;;;
1;Tras ;;PREP;PREP;3;case;;3;;
2;seis;;DET;DET;3;det;;3;;
3;meses;;N;N;12;nmod;;12;;
4;de ;;PREP;PREP;5;case;;5;;
5;viaje;;N;N;3;nmod;;3;;
6;;;PUNCT;PUNCT;12;punct;;3;;
7;la;;ART;ART;8;det;;8;;
8;fecha;;N;N;12;nsubj;;12;;
9;en;;PREP;PREP;11;case;;11;;
10;la;;ART;ART;11;det;;11;;
11;nave;;N;N;8;nmod;;8;;
12;corresponde;;V;V;0;ROOT;;0;;
13;a  ;;PREP;PREP;15;case;;15;;
14;el  ;;ART;ART;15;det;;15;;
15;14_de_julio_de_1972;;DATE;DATE;12;advmod;;12;;
16;.;;PUNCT;PUNCT;12;punct;;12;;
;;;;;;;;;;
1;El  ;;ART;ART;2;det;;2;;
2;calendario;;N;N;6;nsubj;;6;;
3;de ;;PREP;PREP;5;case;;5;;
4;la ;;ART;ART;5;det;;5;;
5;Tierra;;N;N;2;nmod;;2;;
6;señala;;V;V;0;ROOT;;0;;
7;el ;;ART;ART;8;det;;8;;
8;23_de_marzo;;DATE;DATE;6;dobj;;6;;
9;.;;PUNCT;PUNCT;6;punct;;6;;
;;;;;;;;;;
1;La  ;;ART;ART;2;det;;;;
2;Tierra;;N;N;4;nsubj;;;;
3;ha;;V;V;4;aux;;;;
4;envejecido;;V;V;0;ROOT;;;;
5;algo_más_de;;PREP;PREP;7;case;;;;
6;700;;Q;Q;7;det;;;;
7;años;;N;N;4;nmod;;;;
8;…;;PUNCT;PUNCT;4;punct;;;;
;;;;;;;;;;
1;Lo ;;P;P;2;det;subordinada;5;5;
2;peor;;ADJ;ADJ;8;nsubj;verbo ser;5;5;
3;de;;PREP;PREP;5;case;duda sujeto P o NP;5;5;
4;los   ;;ART;ART;5;det;;5;5;
5;sueños;;N;N;2;nmod;;6;6;
6;es;;V;V;9;cop;;0;0;
7;que;;C;C;9;c;;9;9;
8;pueden  ;;V;V;9;aux;;9;9;
9;cumplir   ;;V;V;0;ROOT;;6;6;
10;se ;;P;P;9;mark;;;;
11;.;;PUNCT;PUNCT;8;punct;;6;6;
;;;;;;;;;;
;;;;;;;;;;
1;Desde  ;;PREP;PREP;2;case;subordinada;;3;
2;hace;;V;V;14;advcl;copulativa;;;
3;mil_doscientos;;Q;Q;4;det;;;3;
4;años;;N;N;2;nmod;;;13;
5;;;PUNCT;PUNCT;14;punct;;;3;
6;hombres;;N;N;14;ndubj;;;13;
7;y;;C;C;8;c;;;5;
8;mujeres;;N;N;6;conj;;;5;
9;de;;PREP;PREP;12;case;;;11;
10;todo;;Q;Q;12;det;;;11;
11;el;;ART;ART;12;det;;;11;
12;mundo;;N;N;6;nmod;;;5;
13;han;;AUX;AUX;14;aux;;;13;
14;caminado;;V;V;0;ROOT;;;0;
15;hasta;;PREP;PREP;16;case;;;15;
16;Compostela;;NPR;NPR;14;nmod;;;13;
17;para;;PREP;PREP;18;case;;;17;
18;orar;;V;V;14;advcl;;;13;
19;ante;;PREP;PREP;21;case;;;20;
20;la;;ART;ART;21;det;;;20;
21;tumba;;N;N;18;nmod;;;17;
22;de ;;PREP;PREP;24;case;;;23;
23;el  ;;ART;ART;24;det;;;23;
24;apóstol;;N;N;21;nmod;;;20;
25;Santiago;;NPR;NPR;24;appos;;;23;
26;.;;PUNCT;PUNCT;14;punct;;;13;
;;;;;;;;;;
1;Mil ;;Q;Q;2;det;subordinada;2;2;
2;años;;N;N;4;nsubj;ser;3;3;
3;son;;V;V;4;cop;;0;0;
4;muchos;;ADJ;ADJ;0;ROOT;;3;3;
5;;;PUNCT;PUNCT;4;punct;;3;3;
6;demasiados;;P;P;4;appos;;3;3;
7;;;PUNCT;PUNCT;4;punct;;3;3;
8;para ;;PREP;PREP;9;case;;11;11;
9;que ;;C;C;13;c;;11;11;
10;una;;ART;ART;12;det;;11;11;
11;simple;;ADJ;ADJ;12;amod;;3;3;
12;leyenda;;N;N;13;nsubj;;11;11;
13;perviva;;V;V;4;advcl;;15;15;
14;en;;PREP;PREP;16;case;;15;15;
15;la;;ART;ART;16;det;;12;12;
16;memoria;;N;N;13;nmod;;3;3;
17;.;;PUNCT;PUNCT;4;punct;;;;
;;;;;;;;;;
1;Existen;;V;V;0;ROOT;;0;;20
2;tantos;;Q;Q;3;det ;;3;;
3;caminos;;N;N;1;nsubj;;1;;
4;como;;C;C;5;c;;5;;
5;caminantes;;N;N;3;conj;;3;;
6;.;;PUNCT;PUNCT;1;punct;;1;;
;;;;;;;;;;
1;En_realidad;;ADV;ADV;13;discourse mark;subordinada;5;13;
2;;;PUNCT;PUNCT;13;punct;revisar;5;13;
3;las;;ART;ART;4;det;;4;4;
4;vías;;N;N;13;nsubj;;5;13;
5;utilizadas;;V;V;4;acl;;0;4;
6;por;;PREP;PREP;9;case;;9;9;
7;los;;ART;ART;9;det;;9;9;
8;antiguos;;ADJ;ADJ;9;amod;;9;9;
9;peregrinos;;N;N;5;nmod;;5;5;
10;para;;PREP;PREP;11;case;;11;11;
11;alcanzar;;V;V;5;advcl;;5;5;
12;Santiago;;NPR;NPR;11;dobj;;11;11;
13;hollaron;;V;V;0;ROOT;;5;0;
14;todos;;Q;Q;16;det;;16;16;
15;los;;ART;ART;16;det;;16;16;
16;rincones;;N;N;13;dobj;;13;13;
17;de;;PREP;PREP;19;case;;19;19;
18;la;;ART;ART;19;det;;19;19;
19;península;;N;N;13;nmod;;16;16;
20;.;;PUNCT;PUNCT;13;punct;;5;13;
;;;;;;;;;;
1;Pero ;;C;C;2;discourse marker;;3;;
2;una;;P ;P;3;nsubj;;3;;
3;destacó;;V;V;0;ROOT;;0;;
4;por;;PREP;PREP;6;case;;6;;
5;su;;DET;DET;6;poss;;6;;
6;importancia;;N;N;3;nmod;;3;;
7;histórica;;ADJ;ADJ;6;amod;;6;;
8;y;;CON;CON;9;c;;6;;
9;estratégica;;ADJ;ADJ;7;conj;;6;;
10;.;;PUNCT;PUNT;3;punct;;3;;
;;;;;;;;;;
1;El  ;;ART;ART;2;det ;;2;;
2;camino_francés;;N;N;3;nsubj;;4;;
3;puede ;;V;V;4;aux;;4;;
4;hacer ;;V;V;0;ROOT;;0;;
5;se ;;P;P;4;mark;;8;;
6;durante;;PREP;PREP;9;case;;8;;
7;todo;;Q;Q;9;det ;;8;;
8;el;;ART;ART;9;det ;;4;;
9;año;;N;N;4;nmod;;4;;
10;.;;PUNCT;PUNCT;4;punct;;;;
;;;;;;;;;;
1;La  ;;ART;ART;2;det ;;2;;
2;red;;N;N;11;nsubj;;7;;
3;de ;;PREP;PREP;4;case;;4;;
4;albergues;;N;N;2;nmod;;2;;
5;para;;PREP;PREP;6;case;;6;;
6;peregrinos;;N;N;4;nmod;;4;;
7;es;;V;V;11;cop;;0;;
8;la;;ART;ART;11;det ;;11;;
9;más;;ADV;ADV;10;advmod;;11;;
10;genuina;;ADJ;ADJ;11;amod;;11;;
11;representación;;N;N;0;ROOT;;7;;
12;de ;;PREP;PREP;14;case;;14;;
13;la;;ART;ART;14;det ;;14;;
14;tradición;;N;N;11;nmod;;11;;
15;hospitalaria;;ADJ;ADJ;14;amod;;14;;
16;jacobea;;ADJ;ADJ;14;amod;;14;;
17;.;;PUNCT;PUNCT;11;punct;;7;;
;;;;;;;;;;
1;Es  ;;V;V;2;cop;subordinada;;0;
2;imprescindible;;ADJ;ADJ;0;ROOT;ser;;4;
3;para;;PREP;PREP;4;case;;;4;
4;pernoctar;;V;V;2;advcl;;;1;
5;en;;PREP;PREP;7;case;;;7;
6;los;;ART;ART;7;det;;;7;
7;refugios;;N;N;4;nmod;;;4;
8;.;;PUNCT;PUNCT;2;punct;;;1;
;;;;;;;;;;
1;Los        ;;ART;ART;2;det;subordinada;;2;
;la;;;;;;;;4;
2;hospitaleros;;N;N;3;nsubj;;;4;
3;sellan;;V;V;0;ROOT;;;0;
4;para;;PREP;PREP;5;case;;;6;
5;autentificar;;V;V;3;advcl;;;4;
6;el;;ART;ART;7;det;;;8;
7;paso;;N;N;5;dobj;;;6;
8;por;;PREP;PREP;10;case;;;11;
9;la;;ART;ART;10;det / Q NUM;;;11;
10;Ruta_Jacobea;;NPR;NPR;7;nmod;;;8;
11;.;;PUNCT;PUNCT;3;punct;;;4;
;;;;;;;;;;
1;El  ;;ART;ART;2;det;copulativa;2;;
2;camino_francés;;NPR;NPR;4;nsubj;verbo estar;3;;
3;está;;V;V;4;cop;;0;;
4;lleno;;ADJ;ADJ;0;ROOT;;3;;
5;de ;;PREP;PREP;6;case;;6;;
6;leyendas;;N;N;4;nmod;;4;;
7;y;;C;C;8;c;;6;;
8;anécdotas;;N;N;6;conj;;6;;
9;famosas;;ADJ;ADJ;8;amod;;6;;
10;.;;PUNCT;PUNCT;4;punct;;3;;
;;;;;;;;;;
1;Entre   ;;PREP;PREP;3;case;Flata pensar esta;4;;
2;las;;ART;ART;3;det;;4;;
3;primeras;;N;N;4;nmod;;4;;
4;destaca;;V;V;0;ROOT;;0;;
5;la;;P ;P;4;nsubj;;7;;
6;de ;;PREP;PREP;7;case;;7;;
7;Santo_Domingo_de_la_Calzada;;NPR;NPR;5;nmod;;4;;
8;.;;PUNCT;PUNCT;4;punct;;4;;
;;;;;;;;;;
1;Serbia;;NPR;NPR;2;nsubj;;2;;
2;denuncia;;V;V;0;ROOT;;0;;
3;una;;Q;Q;4;det;;4;;
4;matanza;;N;N;2;dobj;;2;;
5;de ;;PREP;PREP;7;case;;7;;
6;20;;Q;Q;7;det;;7;;
7;civiles;;N;N;4;nmod;;4;;
8;en ;;PREP;PREP;10;case;;10;;
9;un;;Q;Q;10;det;;10;;
10;autobús;;N;N;4;nmod;;4;;
11;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Moscoso;;NPR;NPR;2;nsubj;subordinada;2;2;
2;gana;;V;V;0;ROOT;;0;0;
3;las;;ART;ART;4;det;;4;4;
4;elecciones;;N;N;2;dobj;;2;2;
5;que;;P;P;6;nsubj;;6;6;
6;consolidan;;V;V;4;acl:rel;;4;4;
7;la;;ART;ART;8;det;;8;8;
8;democracia;;N;N;6;dobj;;6;6;
9;panameña;;ADJ;ADJ;8;amod;;8;8;
10;ante;;PREP;PREP;12;case;;12;12;
11;la;;ART;ART;12;det;;12;12;
12;devolución;;N;N;6;nmod;;6;6;
13;de;;PREP;PREP;15;case;;15;15;
14;el;;ART;ART;15;det;;15;15;
15;canal;;N;N;12;nmod;;12;12;
16;.;;PUNCT;PUNCT;2;punct;;2;2;
;;;;;;;;;;
1;Detenido   ;;ADJ;ADJ;0;ROOT;;0;;
2;el;;ART;ART;3;det;;3;;
3;prefecto;;N;N;1;nsubj;;1;;
4;de ;;PREP;PREP;5;case;;5;;
5;Córcega;;NPR;NPR;3;nmod;;3;;
6;por;;PREP;PREP;9;case;;9;;
7;su;;POSS;POSS;9;det;;9;;
8;supuesta;;ADJ;ADJ;9;amod;;9;;
9;relación;;N;N;1;nmod;;1;;
10;con;;PREP;PREP;12;case;;13;;
11;la;;ART;ART;12;det;;13;;
12;guerra_sucia;;N;N;9;nmod;;13;;
13;.;;PUNCT;PUNCT;1;punct;;9;;
;;;;;;;;13;;
;;;;;;;;1;;
;;;;;;;;;;
1;Pastrana;;NPR;NPR;4;nsubj;copulativa;4;4;
2;y;;C;C;3;c;subordinada;1;1;
3;Tirofijo;;NPR;NPR;1;conj;no puedo arreglar subordinas;1;1;
4;pactan;;V;V;0;ROOT;;0;0;
5;que;;C;C;8;c;;7;7;
6;el;;ART;ART;7;det;;7;7;
7;jueves;;N;N;8;nmod;;4;4;
8;comience;;V;V;4;ccomp;;7;7;
9;el;;ART;ART;10;det;;10;10;
10;proceso;;N;N;8;dobj;;7;7;
11;de ;;PREP;PREP;12;case;;12;12;
12;paz;;N;N;10;nmod;;10;10;
13;.;;PUNCT;PUNCT;4;punct;;4;4;
;;;;;;;;;;
1;El  ;;ART;ART;2;det;;2;;
2;uso;;N;N;7;nsubj;;7;;
3;de;;PREP;PREP;5;case;;5;;
4;el;;ART;ART;5;det;;5;;
5;velo;;N;N;2;nmod;;2;;
6;islámico;;ADJ;ADJ;5;amod;;5;;
7;crea;;V;V;0;ROOT;;0;;
8;las;;ART;ART;10;det;;10;;
9;primeras;;Q;Q;10;num;;10;;
10;crisis;;N;N;7;dobj;;7;;
11;en;;PREP;PREP;14;case;;14;;
12;el;;ART;ART;14;det;;14;;
13;nuevo;;ADJ;ADJ;14;amod;;14;;
14;parlamento;;N;N;10;nmod;;10;;
15;turco;;ADJ;ADJ;14;amod;;14;;
16;.;;PUNCT;PUNCT;7;punct;;7;;
;;;;;;;;;;
1;El    ;;ART;ART;2;det;;2;2;
2;ejército;;N;N;4;nsubj;;4;4;
3;mejicano;;ADJ;ADJ;2;amod;;2;2;
4;ordena;;V;V;0;ROOT;;0;0;
5;que;;C;C;7;c;;7;7;
6;se ;;P ;P;7;mark;;7;7;
7;oculten;;V;V;4;ccomp;;4;4;
8;datos;;N;N;7;dobj;;7;7;
9;a;;PREP;PREP;11;case;;11;11;
10;las;;ART;ART;11;det;;11;11;
11;autoridades;;N;N;7;iobj;;7;7;
12;.;;PUNCT;PUNCT;4;punct;;4;4;
;;;;;;;;;;
1;La   ;;ART;ART;2;det;;2;;
2;selección_sub_16;;N;N;4;nsubj;;4;;
3;se;;P;P;4;mark;;4;;
4;enfrenta;;V;V;0;ROOT;;0;;
5;hoy;;ADV;ADV;4;advmod;;4;;
