;;;;;;;ERRORES;COMPARE V01 (03-04);COMPARE V02 (09-04);COMPARE V03 (12-04)
6;a   ;;PREP;PREP;7;case;;7;;
7;Alemania   ;;NPR;NPR;4;nmod;;4;;
8;en  ;;PREP;PREP;9;case;;9;;
9;busca;;N;N;4;nmod;;4;;
10;de  ;;PREP;PREP;12;case;;12;;
11;la     ;;ART;ART;12;det;;12;;
12;final;;N;N;9;nmod;;9;;
13;de  ;;PREP;PREP;15;case;;15;;
14;el                 ;;ART;ART;15;det;;15;;
15;europeo;;ADJ;ADJ;12;amod;;12;;
16;.;;PUNCT;PUNCT;4;punct;;4;;
;;;;;;;;;;
1;Los        ;;ART;ART;2;det;;2;;
2;campeones;;N;N;6;nsubj;;6;;
3;de;;PREP;PREP;5;case;;5;;
4;el;;ART;ART;5;det;;5;;
5;mundo;;N;N;2;nmod;;2;;
6;visitan;;V;V;0;ROOT;;0;;
7;La_Moncloa;;NPR;NPR;6;dobj;;6;;
8;.;;PUNCT;PUNCT;6;punct;;6;;
;;;;;;;;;;
;;;;;;;;;;
1;El    ;;ART;ART;2;det;;2;;
2;Real_Madrid;;NPR;NPR;3;nsubj;;3;;
3;comunica;;V;V;0;ROOT;;0;;
4;a;;PREP;PREP;6;case;;6;;
5;el;;ART;ART;6;det;;6;;
6;Valencia;;NPR;NPR;3;iobj;;3;;
7;su;;POSS;POSS;8;det;;8;;
8;interés;;N;N;3;dobj;;3;;
9;por;;PREP;PREP;10;case;;10;;
10;Mendieta;;NPR;NPR;8;nmod;;8;;
11;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;El  ;;ART;ART;2;det;;2;;
2;central;;N;N;6;nsubj;;6;;
3;más;;ADV;ADV;4;advmod;;2;;
4;deseado;;ADJ;ADJ;2;amod;;2;;
5;ha;;AUX;AUX;6;aux;;6;;
6;perdido;;V;V;0;ROOT;;0;;
7;en ;;PREP;PREP;8;case;;8;;
8;Bilbao;;NPR;NPR;6;nmod;;6;;
9;el;;ART;ART;10;det;;10;;
10;pedigrí;;N;N;6;dobj;;6;;
11;de;;PREP;PREP;13;case;;13;;
12;el;;ART;ART;13;det;;13;;
13;Betis;;NPR;NPR;10;nmod;;10;;
14;.;;PUNCT;PUNCT;6;punct;;6;;
;;;;;;;;;;
1;La;;ART;ART;3;det;;3;3;
2;nueva;;ADJ;ADJ;3;amod;;3;3;
3;comisión;;N;N;9;nsubj;;9;9;
4;de;;PREP;PREP;5;case;;5;5;
5;ética;;N;N;3;nmod;;3;3;
6;de;;PREP;PREP;8;case;;8;8;
7;el;;ART;ART;8;det;;8;8;
8;COI;;NPR;NPR;3;nmod;;5;5;
9;comienza;;V;V;0;ROOT;;0;0;
10;a;;PREP;PREP;11;case;;11;11;
11;estudiar;;V;V;9;xcom;;9;9;
12;casos;;N;N;11;dobj;;11;11;
13;de;;PREP;PREP;14;case;;14;14;
14;corrupción;;N;N;12;nmod;;12;12;
15;.;;PUNCT;PUNCT;9;punct;;9;9;
;;;;;;;;;;
1;La;;ART;ART;3;det;;3;;
2;buena;;ADJ;ADJ;3;amod;;3;;
3;salud;;N;N;9;nsubj;;9;;
4;de;;PREP;PREP;6;case;;6;;
5;la;;ART;ART;6;det;;6;;
6;economía;;N;N;3;nmod;;3;;
7;de;;PREP;PREP;8;case;;8;;
8;EEUU;;NPR;NPR;6;nmod;;6;;
9;mantiene;;V;V;0;ROOT;;0;;
10;a;;PREP;PREP;12;prep;;12;;
11;el;;ART;ART;12;det;;12;;
12;alza;;N;N;9;nmod;;9;;
13;la;;ART;ART;14;det;;14;;
14;Bolsa;;NPR;NPR;9;dobj;;9;;
15;de;;PREP;PREP;16;case;;16;;
16;Nueva_York;;NPR;NPR;14;nmod;;14;;
17;.;;PUNCT;PUNCT;9;punct;;9;;
;;;;;;;;;;
1;Gobierno;;NPR;NPR;6;nsubj;copulativa;6;6;6
2;;;PUNCT;PUNCT;6;punct;tratan de demostrar separado;1;1;1
3;patronal;;N;N;1;appos;;1;1;1
4;y;;C;C;5;c;;1;1;1
5;cámaras;;N;N;3;conj;;1;1;6
6;tratan_de_demostrar;;V;V;0;ROOT;;0;0;0
;*de;;;;;;;;;6
;*demostrar;;;;;;;;;6
7;que;;C;C;10;c;;8;8;12
8;Chile;;NPR;NPR;10;nsubj;;6;6;12
9;no;;ADV;ADV;10;neg;;10;10;12
10;castiga;;V;V;6;dobj;;8;8;8
11;a ;;PREP;PREP;13;case;;10;10;15
12;las ;;ART;ART;13;det;;10;10;15
13;empresas;;N;N;10;dobj;;15;;12
14;españolas;;ADJ;ADJ;13;amod;;15;;15
15;.;;PUNCT;PUNCT;6;punct;;12;;6
;;;;;;;;15;;
;;;;;;;;6;;
;;;;;;;;;;
1;Las;;ART;ART;2;det;;2;;
2;sociedades;;N;N;6;nsubj;;6;;
3;de;;PREP;PREP;4;case;;4;;
4;capital;;N;N;2;nmod;;2;;
5;español;;ADJ;ADJ;4;amod;;4;;
6;suponen;;V;V;0;ROOT;;0;;
7;el;;ART;ART;8;det;;11;;
8;7%;;Q;Q;6;dobj;;11;;
9;de;;PREP;PREP;11;case;;11;;
10;el;;ART;ART;11;det;;11;;
11;PIB;;NPR;NPR;8;nmod;;6;;
12;argentino;;ADJ;ADJ;11;amod;;11;;
13;.;;PUNCT;PUNCT;6;punct;;6;;
;;;;;;;;;;
1;Aznar;;NPR;NPR;2;nsubj;;2;;
2;garantiza;;V;V;0;ROOT;;0;;
3;a;;PREP;PREP;5;case;;5;;
4;los;;ART;ART;5;det;;5;;
5;sindicatos;;N;N;2;iobj;;2;;
6;que;;C;C;8;c;;8;;
7;no;;ADV;ADV;8;neg;;8;;
8;abaratará;;V;V;2;ccomp;;2;;
9;más;;ADV;ADV;8;advmod;;8;;
10;el;;ART;ART;11;det;;11;;
11;despido;;N;N;8;dobj;;8;;
12;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;La;;ART;ART;2;det;;2;;
2;Corporación;;NPR;NPR;4;nsubj;;4;;
3;Banesto;;NPR;NPR;2;appos;;2;;
4;vende;;V;V;0;ROOT;;0;;
5;Isolux;;NPR;NPR;4;dobj;;4;;
6;por;;PREP;PREP;8;case;;8;;
7;14500;;Q;Q;8;det;;8;;
8;millones;;N;N;4;nmod;;4;;
9;.;;PUNCT;PUNCT;4;punct;;4;;
;;;;;;;;;;
1;Un;;ART;ART;2;det;;2;;
2;juez;;N;N;3;nsubj;;3;;
3;dicta;;V;V;0;ROOT;;0;;
4;nulos;;ADJ;ADJ;3;xcomp;;3;;
5;varios;;Q;Q;6;det;;6;;
6;despidos;;N;N;3;dobj;;3;;
7;por;;PREP;PREP;8;case;;8;;
8;participar;;V;V;3;advcl;;3;;
9;en;;PREP;PREP;10;case;;10;;
10;elecciones;;N;N;8;nmod;;8;;
11;sindicales;;ADJ;ADJ;10;amod;;10;;
12;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;Madrid;;NPR;NPR;4;nsubj;;4;;
2;y;;C;C;3;c;;1;;
3;Toledo;;NPR;NPR;1;conj;;1;;
4;acogen;;V;V;0;ROOT;;0;;
5;un;;ART;ART;6;det;;6;;
6;congreso;;N;N;4;dobj;;4;;
7;sobre;;PREP;PREP;8;case;;8;;
8;Américo_Castro;;NPR;NPR;6;nmod;;6;;
9;.;;PUNCT;PUNCT;4;punct;;4;;
;;;;;;;;;;
1;Viena;;NPR;NPR;2;nsubj;;2;;
2;rinde;;V;V;0;ROOT;;0;;
3;culto;;N;N;2;dobj;;2;;
4;a;;PREP;PREP;6;case;;6;;
5;la;;ART;ART;6;det;;6;;
6;actriz;;N;N;2;iobj;;2;;
7;Romy_Schneider;;NPR;NPR;6;aposs;;6;;
8;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Madrid;;NPR;NPR;2;nsubj;;2;;
2;repasa;;V;V;0;ROOT;;0;;
3;en;;PREP;PREP;5;case;;5;;
4;una;;ART;ART;5;det;;5;;
5;exposición;;N;N;2;nmod;;2;;
6;la;;ART;ART;7;det;;7;;
7;cultura;;N;N;2;dobj;;2;;
8;de;;PREP;PREP;10;case;;10;;
9;los;;ART;ART;10;det;;10;;
10;sioux;;N;N;7;nmod;;7;;
11;más_allá_de;;PREP;PREP;13;case;;13;;
12;la;;ART;ART;13;det;;13;;
13;leyenda;;N;N;7;nmod;;7;;
14;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Santillana;;NPR;NPR;2;nsubj;;2;;
2;obtiene;;V;V;0;ROOT;;0;;
3;el;;ART;ART;4;det;;4;;
4;premio;;N;N;2;dobj;;2;;
5;a;;PREP;PREP;8;case;;8;;
6;la;;ART;ART;8;det;;8;;
7;mejor;;ADJ;ADJ;8;amod;;8;;
8;editorial;;N;N;4;nmod;;4;;
9;latinoamericana;;ADJ;ADJ;8;amod;;8;;
10;en;;PREP;PREP;11;case;;11;;
11;Estados_Unidos;;NPR;NPR;9;nmod;;8;;
12;.;;PUNCT;PUNCT;12;punct;;13;;
;;;;;;;;2;;
;;;;;;;;2;;
;;;;;;;;;;
1;Plácido_Domingo;;NPR;NPR;2;nsubj;;2;;
2;encarna;;V;V;0;ROOT;;0;;
3;por;;PREP;PREP;5;case;;5;;
4;primera;;Q;Q;5;det;;5;;
5;vez;;N;N;2;nmod;;2;;
6;a;;PREP;PREP;8;case;;8;;
7;;;PUNCT;PUNCT;2;punct;;8;;
8;El_Cid;;NPR;NPR;2;dobj;;2;;
9;;;PUNCT;PUNCT;2;punct;;8;;
10;en;;PREP;PREP;12;case;;12;;
11;el;;ART;ART;12;det;;12;;
12;teatro;;N;N;2;nmod;;2;;
13;de;;PREP;PREP;15;case;;15;;
14;la;;ART;ART;15;det;;15;;
15;Maestranza;;NPR;NPR;12;nmod;;12;;
16;de;;PREP;PREP;17;case;;17;;
17;Sevilla;;NPR;NPR;15;nmod;;15;;
18;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Las;;ART;ART;2;det;;2;;
2;aves;;N;N;5;nsubj;;6;;
3;de;;PREP;PREP;4;case;;4;;
4;Doñana;;NPR;NPR;2;nmod;;2;;
5;siguen;;V;V;6;aux;;6;;
6;alimentando;;V;V;0;ROOT;;0;;
7;se   ;;P;P;6;mark;;8;;
8;en;;PREP;PREP;9;case;;6;;
9;zonas;;N;N;6;nmod;;8;;
10;envenenadas;;ADJ;ADJ;9;amod;;12;;
11;por;;PREP;PREP;13;case;;12;;
12;el   ;;ART;ART;13;det;;9;;
13;vertido;;N;N;10;nmod;;12;;
14;tóxico;;ADJ;ADJ;13;amod;;6;;
15;.;;PUNCT;PUNCT;6;punct;;;;
;;;;;;;;;;
1;La;;ART;ART;2;det;;2;;
2;UE;;NPR;NPR;3;nsubj;;3;;
3;considera;;V;V;0;ROOT;;0;;
4;dañinas;;ADJ;ADJ;3;xcomp;;3;;
5;las;;ART;ART;6;det;;6;;
6;hormonas;;N;N;3;dobj;;3;;
7;utilizadas;;V;V;6;acl;;6;;
8;en;;PREP;PREP;10;case;;10;;
9;la;;ART;ART;10;det;;10;;
10;carne;;N;N;7;nmod;;7;;
11;de;;PREP;PREP;12;case;;12;;
12;EEUU;;NPR;NPR;10;nmod;;10;;
13;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;La;;ART;ART;2;det;;2;;
2;policía;;N;N;3;nsubj;;3;;
3;desmantela;;V;V;0;ROOT;;0;;
4;una;;ART;ART;5;det;;5;;
5;red;;N;N;3;dobj;;3;;
6;que;;P;P;7;nsubj;;7;;
7;vendía;;V;V;5;acl:rel;;5;;
8;Viagra;;NPR;NPR;7;dobj;;7;;
9;en;;PREP;PREP;10;case;;10;;
10;Internet;;NPR;NPR;7;nmod;;7;;
11;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;El;;ART;ART;2;det;;2;;
2;Consejo_de_Seguridad_Nuclear;;NPR;NPR;3;nsubj;;3;;
3;pide;;V;V;0;ROOT;;0;;
4;un;;Q;Q;5;det;;5;;
5;depósito;;N;N;3;dobj;;3;;
6;único;;ADJ;ADJ;5;amod;;5;;
7;para;;PREP;PREP;9;case;;9;;
8;los;;ART;ART;9;det;;9;;
9;residuos;;N;N;5;nmod;;5;;
10;de;;PREP;PREP;12;case;;12;;
11;las;;ART;ART;12;det;;12;;
12;centrales;;N;N;9;nmod;;9;;
13;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;La;;ART;ART;2;det;error en arbol lisp???;2;;
2;huelga;;N;N;6;nsubj;;6;;
3;de;;PREP;PREP;5;case;;5;;
4;los;;ART;ART;5;det;;5;;
5;MIR;;NPR;NPR;2;nmod;;6;;
6;empieza;;V;V;0;ROOT;;0;;
7;mañana;;ADV;ADV;6;advmod;;6;;
8;en;;PREP;PREP;10;case;;10;;
9;nueve;;Q;Q;10;det;;10;;
10;comunidades;;N;N;6;nmod;;6;;
11;.;;PUNCT;PUNCT;6;punct;;6;;
;;;;;;;;;;
1;Oxford;;NPR;NPR;19;nsubj;copulativa;;;
2;y;;C;C;3;c;;;;
3;Cambridge;;NPR;NPR;1;conj;;;;
4;;;PUNCT;;19;punct;;;;
5;las;;ART;ART;7;det;;;;
6;dos;;Q;Q;7;det;;;;
7;joyas;;N;N;1;appos;;;;
8;de;;PREP;PREP;10;case;;;;
9;la;;ART;ART;10;det;;;;
10;educación;;N;N;7;nmod;;;;
11;universitaria;;ADJ;ADJ;10;amod;;;;
12;británica;;ADJ;ADJ;10;amod;;;;
13;;;;PUNCT;19;punct;;;;
14;ya;;ADV;ADV;19;advmod;;;;
15;no;;ADV;ADV;19;neg;;;;
16;están;;V;V;19;cop;;;;
17;en;;PREP;PREP;19;case;;;;
18;la;;ART;ART;19;det;;;;
19;cima;;N;N;0;ROOT;;;;
20;de;;PREP;PREP;22;case;;;;
21;el   ;;ART;ART;22;det;;;;
22;mundo;;N;N;19;nmod;;;;
23;.;;PUNCT;PUNCT;19;punct;;;;
;;;;;;;;;;
1;Panamá;;NPR;NPR;2;nsubj;;2;;
2;vivió;;V;V;0;ROOT;;0;;
3;el;;ART;ART;5;det;;4;;
4;pasado;;N;N;5;amod;;2;;
5;domingo;;N;N;2;nmod;;4;;
6;una;;ART;ART;7;det;;7;;
7;jornada;;N;N;2;dobj;;2;;
8;electoral;;ADJ;ADJ;7;amod;;7;;
9;cargada;;ADJ;ADJ;7;amod;;7;;
10;de;;PREP;PREP;11;case;;11;;
11;simbolismos;;N;N;9;nmod;;9;;
12;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Todos;;Q;Q;3;det;subordinada;3;3;
2;los;;ART;ART;3;det;verbo ser;3;3;
3;observadores;;N;N;4;nsubj;;4;4;
4;coinciden;;V;V;0;ROOT;;0;0;
5;en;;PREP;PREP;12;case;;8;7;
6;que;;C;C;12;c;;8;7;
7;han;;AUX;AUX;8;aux;;8;4;
8;sido;;V;V;12;cop;;4;9;
9;las;;ART;ART;10;det;;10;7;
10;elecciones;;N;N;12;nsubj;;8;9;
11;más;;ADV;ADV;12;advmod;;10;9;
12;limpias;;ADJ;ADJ;4;ccomp;;10;15;
13;de;;PREP;PREP;16;case;;16;15;
14;ese;;DEM;DEM;16;det;;16;15;
15;pequeño;;ADJ;ADJ;16;amod;;16;9;
16;país;;N;N;12;nmod;;10;4;
17;.;;PUNCT;PUNCT;4;;;4;;
;;;;;;;;;;
1;A_veces;;ADV;ADV;5;advmod;;5;;
2;;;PUNCT;PUNCT;5;punct;;5;;
3;las;;ART;ART;4;det;;4;;
4;leyes;;N;N;5;nsubj;;5;;
5;fallan;;V;V;0;ROOT;;0;;
6;porque;;C;C;7;c;;7;;
7;ignoran;;V;V;5;advcl;;5;;
8;olímpicamente;;ADV;ADV;7;advmod;;7;;
9;la;;ART;ART;10;det;;10;;
10;realidad;;N;N;7;dobj;;7;;
11;.;;PUNCT;PUNCT;;;;5;;
;;;;;;;;;;
1;La;;ART;ART;2;det;;2;;
2;madeja;;N;N;5;nsubj;;5;;
3;política;;ADJ;ADJ;2;amod;;2;;
4;italiana;;ADJ;ADJ;2;amod;;2;;
5;goza;;V;V;0;ROOT;;0;;
6;de;;PREP;PREP;8;case;;8;;
7;merecida;;ADJ;ADJ;8;amod;;8;;
8;fama;;N;N;5;nmod;;5;;
9;de;;PREP;PREP;10;case;;10;;
10;inextricable;;ADJ;ADJ;8;amod;;8;;
11;.;;PUNCT;PUNCT;5;punct;;5;;
;;;;;;;;;;
1;Un;;ART;ART;2;det;;2;;
2;incendio;;N;N;4;nsubj;;4;;
3;fortuito;;ADJ;ADJ;2;amod;;2;;
4;permite;;V;V;0;ROOT;;0;;
5;descubrir;;V;V;4;ccomp;;4;;
6;en;;PREP;PREP;7;case;;7;;
7;Francia;;NPR;NPR;5;nmod;;5;;
8;el;;ART;ART;10;det;;10;;
9;mayor;;ADJ;ADJ;10;amod;;10;;
10;arsenal;;N;N;5;dobj;;5;;
11;de;;PREP;PREP;12;case;;12;;
12;ETA;;NPR;NPR;10;nmod;;10;;
13;desde;;PREP;PREP;14;case;;14;;
14;1982;;DATE;DATE;5;advmod;;5;;
15;.;;PUNCT;PUNCT;5;punct;;4;;
;;;;;;;;;;
1;El;;ART;ART;2;det;;2;;
2;Gobierno;;NPR;NPR;4;nsubj;;4;;
3;ha;;AUX;AUX;4;aux;;4;;
4;situado;;V;V;0;ROOT;;0;;
5;a;;PREP;PREP;7;case;;7;;
6;10;;Q;Q;7;det;;7;;
7;cargos;;N;N;4;dobj;;4;;
8;sin;;PREP;PREP;9;case;;9;;
9;experiencia;;N;N;7;nmod;;7;;
10;en;;PREP;PREP;12;case;;12;;
11;el;;ART;ART;12;det;;12;;
12;consejo;;N;N;4;nmod;;4;;
13;de;;PREP;PREP;14;case;;14;;
14;AENA;;NPR;NPR;12;nmod;;12;;
15;.;;PUNCT;PUNCT;4;punct;;4;;
;;;;;;;;;;
1;El;;ART;ART;2;det;;2;;
2;alcalde;;N;N;5;nsubj;;5;;
3;de;;PREP;PREP;4;case;;4;;
4;Jerez;;NPR;NPR;2;nmod;;2;;
5;quiere;;V;V;0;ROOT;;0;;
6;demandar;;V;V;5;ccomp;;5;;
7;a;;PREP;PREP;8;case;;8;;
8;Iberia;;NPR;NPR;6;dobj;;6;;
9;.;;PUNCT;PUNCT;5;punct;;5;;
;;;;;;;;;;
1;Iberia;;NPR;NPR;2;nsubj;;2;;
2;suprime;;V;V;0;ROOT;;0;;
3;vuelos;;N;N;2;dobj;;2;;
4;entre;;PREP;PREP;5;case;;5;;
5;Jerez;;NPR;NPR;3;nmod;;3;;
6;y;;C;C;7;c;;5;;
7;Madrid;;NPR;NPR;5;conj;;5;;
8;en;;PREP;PREP;10;case;;10;;
9;plena;;ADJ;ADJ;10;amod;;10;;
10;temporada;;N;N;2;nmod;;2;;
11;turística;;ADJ;ADJ;10;amod;;10;;
12;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Iberia;;NPR;NPR;5;nsubj;copulativa;5;;
2;y;;C;C;3;c;;1;;
3;Fomento;;NPR;NPR;1;conj;;1;;
4;se;;P;P;5;dobj;;5;;
5;acusan;;V;V;0;ROOT;;0;;
6;mutuamente;;ADV;ADV;5;advmod;;5;;
7;de;;PREP;PREP;9;case;;9;;
8;los;;ART;ART;9;det;;9;;
9;retrasos;;N;N;5;nmod;;5;;
10;en;;PREP;PREP;12;case;;12;;
11;los;;ART;ART;12;det;;12;;
12;vuelos;;N;N;9;nmod;;5;;
13;de;;PREP;PREP;14;case;;14;;
14;Barajas;;NPR;NPR;12;nmod;;12;;
15;.;;PUNCT;PUNCT;5;punct;;5;;
;;;;;;;;;;
1;Los;;ART;ART;2;det;;2;;
2;controladores;;N;N;3;nsubj;;3;;
3;ven;;V;V;0;ROOT;;0;;
4;con;;PREP;PREP;5;case;;5;;
5;reservas;;N;N;3;nmod;;3;;
6;la;;ART;ART;7;det;;7;;
7;incorporación;;N;N;3;dobj;;3;;
8;de;;PREP;PREP;9;case;;9;;
9;prejubilados;;N;N;7;nmod;;7;;
10;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;Rubalcaba;;NPR;NPR;2;nsubj;copulativa;2;;
2;recomienda;;V;V;0;ROOT;;0;;
3;a;;PREP;PREP;4;case;;4;;
4;Arenas;;NPR;NPR;2;iobj;;2;;
5;que;;C;C;7;c;;7;;
6;se;;P;P;7;dobj;;7;;
7;arrodille;;V;V;2;ccmop;;2;;
8;en;;PREP;PREP;9;case;;9;;
9;Barajas;;NPR;NPR;7;nmod;;7;;
10;y;;C;C;11;cc;;7;;
11;pida;;V;V;7;conj;;7;;
12;perdón;;N;N;11;dobj;;11;;
13;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;EH;;NPR;NPR;2;nsubj;;2;;
2;presenta;;V;V;0;ROOT;;0;;
3;a;;PREP;PREP;4;case;;4;;
4;Josu_Ternera;;NPR;NPR;2;dobj;;2;;
5;como;;C;C;6;c;;6;;
6;candidato;;N;N;4;nmod;;4;;
7;en;;PREP;PREP;9;case;;9;;
8;su;;POSS;POSS;9;det;;9;;
9;pueblo;;N;N;2;nmod;;2;;
10;natal;;ADJ;ADJ;9;amod;;9;;
11;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;El;;ART;ART;2;det ;;2;;
2;presidente;;N;N;7;nsubj;;7;;
3;de;;PREP;PREP;5;case;;5;;
4;la;;ART;ART;5;det;;5;;
5;patronal;;N;N;2;nmod;;2;;
6;vasca;;ADJ;ADJ;5;amod;;5;;
7;pide;;V;V;0;ROOT;;0;;
8;a;;PREP;PREP;10;case;;10;;
9;los;;ART;ART;10;det;;10;;
10;partidos;;N;N;7;iobj;;7;;
11;un;;Q;Q;13;det;;13;;
12;«;;PUNCT;PUNCT;7;punct;;13;;
13;acuerdo;;N;N;7;dobj;;7;;
14;pleno;;ADJ;ADJ;13;amod;;13;;
15;»;;PUNCT;PUNCT;7;punct;;13;;
16;sobre;;PREP;PREP;18;case;;18;;
17;el;;ART;ART;18;det;;18;;
18;Estatuto;;NPR;NPR;13;nmod;;13;;
19;.;;PUNCT;PUNCT;7;punct;;7;;
;;;;;;;;;;
1;Pujol;;NPR;NPR;2;nsubj;;2;;
2;avisa;;V;V;0;ROOT;;0;;
3;de;;PREP;PREP;6;case;;6;;
4;que;;C;C;6;c;;6;;
5;no;;ADV;ADV;6;advmod;;6;;
6;tolerará;;V;V;2;ccomp;;2;;
7;los;;ART;ART;8;det;;8;;
8;intentos;;N;N;6;dobj;;6;;
