;;;;;;;ERRORES;COMPARE V01 (03-04);COMPARE V02 (09-04);COMPARE V03 (12-04)
9;para;;PREP;PREP;10;case;;10;;
10;desestabilizar;;V;V;8;xcomp;;8;;
11;Cataluña;;NPR;NPR;10;dobj;;10;;
12;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;El;;ART;ART;2;det;;2;;
2;puerto;;N;N;5;nsubj;;5;;
3;de;;PREP;PREP;4;case;;4;;
4;Barcelona;;NPR;NPR;2;nmod;;2;;
5;contrata;;V;V;0;ROOT;;0;;
6;con;;PREP;PREP;8;case;;8;;
7;una;;ART;ART;8;det / Q NUM;;8;;
8;empresa;;N;N;5;nmod;;5;;
9;vinculada;;ADJ;ADJ;8;amod;;11;;
10;a;;PREP;PREP;11;case;;11;;
11;Marta_Ferrusola;;NPR;NPR;8;nmod;;8;;
12;.;;PUNCT;PUNCT;5;punct;;5;;
;;;;;;;;;;
1;Dimiten;;V;V;0;ROOT;;0;;
2;dos;;Q;Q;3;det;;3;;
3;ediles;;N;N;1;nsubj;;1;;
4;de;;PREP;PREP;6;case;;6;;
5;el  ;;ART;ART;6;det;;6;;
6;PP;;NPR;NPR;3;nmod;;3;;
7;en;;PREP;PREP;8;case;;8;;
8;Albacete;;NPR;NPR;1;nmod;;6;;
9;por;;PREP;PREP;11;case;;11;;
10;la;;ART;ART;11;det;;11;;
11;crisis;;N;N;1;nmod;;1;;
12;interna;;ADJ;ADJ;11;amod;;11;;
13;de;;PREP;PREP;15;case;;15;;
14;el     ;;ART;ART;15;det;;15;;
15;partido;;N;N;11;nmod;;11;;
16;.;;PUNCT;PUNCT;1;punct;;1;;
;;;;;;;;;;
1;El;;ART;ART;2;det;;2;;
2;PP;;NPR;NPR;5;nsubj;;5;;
3;de;;PREP;PREP;4;case;;4;;
4;Melilla;;NPR;NPR;2;nmod;;2;;
5;insta;;V;V;0;ROOT;;0;;
6;a;;PREP;PREP;8;case;;8;;
7;una;;ART;ART;8;det;;8;;
8;postura;;N;N;5;nmod;;5;;
9;única;;ADJ;ADJ;8;amod;;8;;
10;de;;PREP;PREP;12;case;;12;;
11;los;;ART;ART;12;det;;12;;
12;partidos;;N;N;8;nmod;;8;;
13;frente_a;;PREP;PREP;14;case;;14;;
14;Marruecos;;NPR;NPR;8;nmod;;8;;
15;.;;PUNCT;PUNCT;5;punct;;5;;
;;;;;;;;;;
1;La;;ART;ART;2;det;;2;;
2;Cámara_de_Cuentas;;NPR;NPR;4;nsubj;;4;;
3;andaluza;;ADJ;ADJ;2;amod;;2;;
4;ve;;V;V;0;ROOT;;0;;
5;indicios;;N;N;4;dobj;;4;;
6;de;;PREP;PREP;7;case;;7;;
7;delito;;N;N;5;nmod;;5;;
8;en;;PREP;PREP;10;case;;10;;
9;la;;ART;ART;10;det;;10;;
10;gestión;;N;N;7;nmod;;4;;
11;de;;PREP;PREP;12;case;;12;;
12;Gil;;NPR;NPR;10;nmod;;10;;
13;.;;PUNCT;PUNCT;4;punct;;4;;
;;;;;;;;;;
1;El;;ART;ART;2;det;;2;;
2;Poder_Judicial;;NPR;NPR;3;nsubj;;3;;
3;paraliza;;V;V;0;ROOT;;0;;
4;la;;ART;ART;5;det;;5;;
5;queja;;N;N;3;dobj;;3;;
6;de;;PREP;PREP;8;case;;8;;
7;el     ;;ART;ART;8;det;;8;;
8;alcalde;;N;N;5;nmod;;5;;
9;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;Perote;;NPR;NPR;2;nsubj;;2;;
2;obtiene;;V;V;0;ROOT;;0;;
3;la;;ART;ART;4;det;;4;;
4;libertad;;N;N;2;dobj;;2;;
5;condicional;;ADJ;ADJ;4;amod;;4;;
6;tras;;PREP;PREP;7;case;;7;;
7;cumplir;;V;V;2;advcl;;2;;
8;casi;;ADV;ADV;10;advmod;;10;;
9;34;;Q;Q;10;det;;10;;
10;meses;;N;N;7;dobj;;7;;
11;de;;PREP;PREP;12;case;;12;;
12;prisión;;N;N;10;nmod;;10;;
13;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Mueren;;V;V;0;ROOT;;0;;
2;una;;Q;Q;3;det;;3;;
3;mujer;;N;N;1;nsubj;;1;;
4;y;;C;C;7;c;;3;;
5;sus;;POSS;POSS;7;det;;7;;
6;dos;;Q;Q;7;det;;7;;
7;hijos;;N;N;3;conj;;3;;
8;en;;PREP;PREP;10;case;;10;;
9;un;;ART;ART;10;det;;10;;
10;accidente;;N;N;1;nmod;;1;;
11;de;;PREP;PREP;12;case;;12;;
12;tráfico;;N;N;10;nmod;;10;;
13;en;;PREP;PREP;14;case;;14;;
14;Segovia;;NPR;NPR;1;nmod;;12;;
15;.;;PUNCT;PUNCT;1;punct;;16;;
;;;;;;;;1;;
;;;;;;;;1;;
;;;;;;;;;;
1;Claudia;;NPR;NPR;2;nsubj;;2;;
2;trabaja;;V;V;0;ROOT;;0;;
3;en;;PREP;PREP;5;case;;5;;
4;un;;ART;ART;5;det;;5;;
5;restaurante;;N;N;2;nmod;;2;;
6;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Vive;;V;V;0;ROOT;subordinada coordinada ;0;;
2;con;;PREP;PREP;4;case;verbo ser;4;;
3;su;;POSS;POSS;4;det;;4;;
4;novio;;N;N;1;nmod;;1;;
5;0;;;PUNCT;1;punct;;4;;
6;un;;ART;ART;7;det;;7;;
7;chico;;N;N;4;appos;;4;;
8;que;;P;P;9;nsubj;;9;;
9;conoce;;V;V;7;acl:rel;;7;;
10;de;;PREP;PREP;13;case;;13;;
11;toda;;Q;Q;13;det;;13;;
12;la;;ART;ART;13;det;;13;;
13;vida;;N;N;7;nmod;;9;;
14;0;;PUNCT;PUNCT;1;punct;;9;;
15;que;;P;P;18;nsubj;;16;;
16;es;;V;V;18;cop;;9;;
17;muy;;ADV;ADV;18;advmod;;16;;
18;bueno;;ADJ;ADJ;4;acl:rel;;16;;
19;con;;PREP;PREP;20;case;;16;;
20;ella;;P;P;18;nmod;;16;;
21;.;;PUNCT;PUNCT;1;punct;;1;;
;;;;;;;;;;
1;Están;;V;V;3;cop;verbo ser;0;;
2;bien;;ADV;ADV;3;advmod;;1;;
3;juntos;;ADJ;ADJ;0;ROOT;;1;;
4;.;;PUNCT;PUNCT;3;punct;;1;;
;;;;;;;;;;
1;A;;PREP;PREP;3;case;error;3;;
2;los;;ART;ART;3;det;;3;;
3;montículos;;N;N;13;iobj;;6;;
4;rocosos;;ADJ;ADJ;3;amod;;3;;
5;que;;P;P;6;nsubj;;6;;
6;circundan;;V;V;3;acl:rel;;0;;
7;la;;ART;ART;9;det;;9;;
8;envidiable;;ADJ;ADJ;9;amod;;9;;
9;ciudad;;N;N;6;dobj;;6;;
10;de;;PREP;PREP;11;case;;11;;
11;Río_de_Janeiro;;NPR;NPR;9;nmod;;9;;
12;les;;P;P;13;iobj;;3;;
13;llaman;;V;V;0;ROOT;;3;;
;`;;;;;;;15;;
14;piedras;;N;N;13;dobj;;3;;
;`;;;;;;;15;;
15;.;;PUNCT;PUNCT;13;punct;;6;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;Quedan;;V;V;0;ROOT;;0;;
2;con;;PREP;PREP;4;case;;4;;
3;los;;ART;ART;4;det;;4;;
4;amigos;;N;N;1;nmod;;1;;
5;.;;PUNCT;PUNCT;1;punct;;1;;
;;;;;;;;;;
1;La;;ART;ART;2;det;error;2;;
2;diosa;;N;N;8;nsubj;;8;;
3;viviente;;ADJ;ADJ;2;amod;;2;;
4;Kumari;;NPR;NPR;2;aposs;;2;;
5;de;;PREP;PREP;6;case;;6;;
6;Nepal;;NPR;NPR;4;nmod;;2;;
7;se;;P;P;8;dobj;;8;;
8;asoma;;V;V;0;ROOT;;0;;
9;para;;PREP;PREP;10;case;;10;;
10;ver;;V;V;8;advcl;;8;;
11;a;;PREP;PREP;13;case;;13;;
12;los;;ART;ART;13;det;;13;;
13;votantes;;N;N;10;dobj;;10;;
14;en;;PREP;PREP;16;case;;16;;
15;las;;ART;ART;16;det;;16;;
16;elecciones;;N;N;8;nmod;;10;;
17;de;;PREP;PREP;20;case;;19;;
18;el     ;;ART;ART;20;det;;19;;
19;pasado;;N;N;20;amod;;16;;
20;domingo;;N;N;16;nmod;;19;;
21;.;;PUNCT;PUNCT;8;punct;;8;;
;;;;;;;;;;
1;Claudia;;NPR;NPR;2;nsubj;;2;;
2;tiene;;V;V;0;ROOT;;0;;
3;un;;ART;ART;4;det;;4;;
4;trabajo;;N;N;2;dobj;;2;;
5;fijo;;ADJ;ADJ;4;amod;;4;;
6;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Y;;CON;CON;2;discourse marker;;2;;
2;sigue;;V;V;0;ROOT;;0;;
3;así;;ADV;ADV;2;advmod;;2;;
4;hasta_que;;C;C;5;c;;5;;
5;aparece;;V;V;2;advcl;;2;;
6;Charlie;;NPR;NPR;5;nsubj;;5;;
7;;;PUNCT;PUNCT;2;punct;;6;;
8;un;;ART;ART;9;det;;9;;
9;ex_novio;;N;N;6;appos;;6;;
10;que;;P;P;12;nsubj;;12;;
11;la;;P;P;12;dobj;;12;;
12;dejó;;V;V;9;acl:rel;;9;;
13;tirada;;ADJ;ADJ;12;xcomp;;12;;
14;y;;C;C;16;c;;12;;
15;la;;P;P;16;iobj;;16;;
16;rompió;;V;V;12;conj;;12;;
17;el;;ART;ART;18;det;;18;;
18;corazón;;N;N;16;dobj;;16;;
19;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Y_ahora;;CON;CON;4;discourse marker;copulativa;4;;
2;ha;;V;V;3;aux;;4;;
3;vuelto;;V;V;0;ROOT;;4;;
4;para;;PREP;PREP;5;case;;0;;
5;llevar    ;;V;V;3;advcl;;6;;
6;se    ;;P;P;5;mark;;4;;
7;a;;PREP;PREP;8;case;;8;;
8;Claudia;;NPR;NPR;5;dobj;;6;;
9;y;;C;C;10;c;;6;;
10;seguir;;V;V;3;conj;;6;;
11;donde;;C;C;14;c;;14;;
12;lo;;P;P;14;dobj;;14;;
13;habían;;V;V;14;aux;;14;;
14;dejado;;V;V;10;advcl;;10;;
15;.;;PUNCT;PUNCT;3;punct;;4;;
;;;;;;;;;;
1;Pero;;CON;CON;6;c;copulativa;4;;
2;ella;;P;P;6;nsubj;verbo ser;4;;
3;ahora;;ADV;ADV;6;advmod;;4;;
4;está;;V;V;6;cop;;0;;
5;con;;PREP;PREP;6;case;;6;;
6;Michael;;NPR;NPR;0;ROOT;;4;;
7;0;;PUNCT;PUNCT;6;punct;;9;;
8;que;;P;P;10;nsubj;;9;;
9;es;;V;V;10;cop;;6;;
10;guapo;;ADJ;ADJ;6;acl:rel;;9;;
11;0;;PUNCT;PUNCT;6;punct;;9;;
12;cariñoso;;ADJ;ADJ;10;appos;;9;;
13;y;;C;C;15;c;;9;;
14;la;;P;P;15;dobj;;15;;
15;ama;;V;V;12;conj;;9;;
16;.;;PUNCT;PUNCT;6;punct;;4;;
;;;;;;;;;;
1;Charlie;;NPR;NPR;5;nsubj;verbo ser;2;;
2;es;;V;V;5;cop;;0;;
3;el;;ART;ART;5;det;;5;;
4;típico;;ADJ;ADJ;5;amod;;5;;
5;sinvergüenza;;N;N;0;ROOT;;2;;
6;encantador;;ADJ;ADJ;5;amod;;5;;
7;con;;PREP;PREP;9;case;;9;;
8;la;;ART;ART;9;det;;9;;
9;cabeza;;N;N;5;nmod;;5;;
10;llena;;ADJ;ADJ;9;amod;;12;;
11;de;;PREP;PREP;12;case;;12;;
12;pájaros;;N;N;10;nmod;;9;;
13;.;;PUNCT;PUNCT;5;punct;;2;;
;;;;;;;;;;
1;Dedee_Truitt;;NPR;NPR;2;nsubj;error cuatitativo;2;;
2;tiene;;V;V;0;ROOT;mal, la relacion va co el nombre no con cuantitativo;0;;
3;sólo;;ADV;ADV;4;advmod;;5;;
4;16;;Q;Q;5;det;;5;;
5;años;;N;N;2;dobj;;2;;
6;pero;;C;C;7;cc;;2;;
7;sabe;;V;V;2;conj;;2;;
8;latín;;N;N;7;dobj;;7;;
9;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Se;;P;P;3;pron;copulativa;3;;
2;ha;;AUX;AUX;3;aux;;3;;
3;escapado;;V;V;0;ROOT;;0;;
4;de;;PREP;PREP;5;case;;5;;
5;casa;;N;N;3;nmod;;3;;
6;y;;C;C;9;c;;3;;
7;se    ;;P;P;9;pron;;9;;
8;ha;;AUX;AUX;9;aux;;9;;
9;ido;;V;V;3;conj;;3;;
10;a;;PREP;PREP;11;case;;11;;
11;vivir;;V;V;9;advcl;;9;;
12;con;;PREP;PREP;14;case;;14;;
13;su;;POSS;POSS;14;det;;14;;
14;hermanastro;;N;N;11;nmod;;11;;
15;Bill;;NPR;NPR;14;appos;;14;;
16;0;;PUNCT;PUNCT;3;punct;;14;;
17;dedicado;;ADJ;ADJ;20;amod;;20;;
18;y;;C;C;19;c;;20;;
19;afable;;ADJ;ADJ;17;conj;;20;;
20;profesor;;N;N;14;appos;;14;;
21;homosexual;;ADJ;ADJ;20;amod;;20;;
22;de;;PREP;PREP;25;case;;25;;
23;un;;ART;ART;25;det;;25;;
24;pequeño;;ADJ;ADJ;25;amod;;25;;
25;pueblo;;N;N;20;nmod;;20;;
26;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;Ahora;;ADV;ADV;11;advmod;copulativa ;11;;
3;tras;;PREP;PREP;5;case;verbo ser;4;;
4;la;;ART;ART;5;det;;4;;
5;muerte;;N;N;11;nmod;;11;;
6;de;;PREP;PREP;8;case;;7;;
7;su;;POSS;POSS;8;det;;7;;
8;compañero;;N;N;5;nmod;;4;;
10;es;;V;V;11;cop;;4;;
11;rico;;N;N;0;ROOT;;11;;
12;e;;C;C;13;c;;9;;
13;intenta;;V;V;11;conj;;0;;
14;rehacer;;V;V;13;ccomp;;11;;
15;su;;POSS;POSS;16;det;;14;;
16;vida;;N;N;14;dobj;;12;;
17;con;;PREP;PREP;18;case;;16;;
18;Matt;;NPR;NPR;16;nmod;;14;;
19;.;;PUNCT;PUNCT;11;punct;;11;;
;;;;;;;;;;
1;Todo;;NPR;NPR;2;nsubj;copulativa ;2;;
2;estallará;;V;V;0;ROOT;;0;;
3;cuando;;C;C;5;c;;4;;
4;Dedee;;NPR;NPR;5;nsubj;;2;;
5;anuncie;;V;V;2;advcl;;4;;
6;que;;C;C;8;c;;7;;
7;está;;V;V;8;cop;;5;;
8;embarazada;;V;V;5;ccomp;;7;;
9;y;;C;C;14;c;;7;;
10;que;;C;C;14;c;;11;;
11;Matt;;NPR;NPR;14;nsubj;;7;;
12;es;;V;V;14;cop;;11;;
13;el;;ART;ART;14;det;;14;;
14;padre;;N;N;8;conj;;12;;
15;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Desde;;PREP;PREP;2;case;verbo ser;2;;
2;pequeño;;N;N;4;amod;subordinada;4;;
3;me;;P;P;4;iobj;;4;;
4;enseñaron;;V;V;0;ROOT;;0;;
5;que;;C;C;14;c;;7;;
6;para;;PREP;PREP;7;case;;7;;
7;mover;;V;V;4;advcl;;4;;
8;una;;ART;ART;10;det;;10;;
9;gran;;ADJ;ADJ;10;amod;;10;;
10;piedra;;N;N;7;dobj;;7;;
11;lo;;P;P;12;dobj;;7;;
12;importante;;ADJ;ADJ;14;ccomp;;7;;
13;era;;V;V;14;cop;;7;;
14;mover;;V;V;4;csubj;;13;;
15;la;;P;P;14;dobj;;4;;
16;.;;PUNCT;PUNCT;4;punct;;;;
;;;;;;;;;;
1;Varias;;Q;Q;2;det;;2;;
2;cadenas;;N;N;4;nsubj;;4;;
3;comerciales;;ADJ;ADJ;2;amod;;2;;
4;abrieron;;V;V;0;ROOT;;0;;
5;a;;PREP;PREP;6;case;;6;;
6;la_una_de_la_madrugada;;DATE;DATE;4;advmod;;4;;
7;de;;PREP;PREP;8;case;;8;;
8;ayer;;N;N;6;adv;;6;;
9;para;;PREP;PREP;10;case;;10;;
10;vender;;V;V;4;advcl;;4;;
11;estos;;DEM;DEM;12;det;;12;;
12;juguetes;;N;N;10;dobj;;10;;
13;.;;PUNCT;PUNCT;4;punct;;4;;
;;;;;;;;;;
1;El             ;;ART;ART;2;det;;2;;
2;regreso;;N;N;17;nsubj;;17;;
3;de  ;;PREP;PREP;4;case;;4;;
4;7_Notas_7_Colores;;NPR;NPR;2;nmod;;2;;
5;;;PUNCT;PUNCT;17;punct;;8;;
6;tras;;PREP;PREP;8;case;;8;;
7;el;;ART;ART;8;det;;8;;
8;éxito;;N;N;17;nmod;;17;;
9;de;;PREP;PREP;10;case;;10;;
10;ventas;;N;N;8;nmod;;8;;
11;de;;PREP;PREP;14;case;;14;;
12;su;;POSS;POSS;14;det;;14;;
13;primer;;Q;Q;14;det;;14;;
14;álbum;;N;N;10;nmod;;10;;
15;;;PUNCT;PUNCT;17;punct;;8;;
16;debería  ;;V;V;17;aux;;17;;
17;suponer ;;V;V;0;ROOT;;0;;
18;la  ;;ART;ART;20;det;;20;;
19;definitiva;;ADJ;ADJ;20;amod;;20;;
20;consolidación;;N;N;17;dobj;;17;;
21;de  ;;PREP;PREP;23;case;;23;;
22;el     ;;ART;ART;23;det;;23;;
23;hip_hop;;N;N;20;nmod;;20;;
24;español;;ADJ;ADJ;24;amod;;23;;
25;.;;PUNCT;PUNCT;17;punct;;17;;
;;;;;;;;;;
1;Sólo ;;ADV;ADV;4;advmod;subordinada;7;7;
2;los     ;;ART;ART;4;det;;4;4;
3;grandes;;ADJ;ADJ;4;amod;;4;4;
4;nombres;;N;N;7;nsubj;;7;7;
5;se    ;;P;P;7;mark;;7;7;
6;pueden   ;;V;V;7;aux;;7;7;
7;permitir;;V;V;0;ROOT;;0;0;
8;el     ;;ART;ART;9;det;;9;9;
9;lujo;;N;N;7;dobj;;7;7;
10;de  ;;PREP;PREP;11;case;;11;11;
11;documentar;;V;V;9;xcomp;;9;9;
12;una;;Q;Q;13;det;;13;13;
13;serie;;N;N;11;dobj;;11;11;
14;completa;;ADJ;ADJ;13;amod;;13;13;
15;de  ;;PREP;PREP;16;case;;16;16;
16;conciertos;;N;N;13;nmod;;13;13;
17;.;;PUNCT;PUNCT;7;punct;;7;7;
;;;;;;;;;;
;;;;;;;;;;
1;En;;PREP;PREP;3;case;;3;;
2;estos;;DEM;DEM;3;det;;3;;
3;tiempos;;N;N;7;nmod;;7;;
4;de;;PREP;PREP;5;case;;5;;
5;eclosión;;N;N;3;nmod;;3;;
6;gaitera;;ADJ;ADJ;5;amod;;5;;
7;quedaba;;V;V;0;ROOT;;0;;
8;sin;;PREP;PREP;9;case;;9;;
9;resolver;;V;V;7;advcl;;7;;
10;una;;ART;ART;11;det;;11;;
11;cuestión;;N;N;7;nsubj;;7;;
12;trascendental;;ADJ;ADJ;11;amod;;11;;
13;.;;PUNCT;PUNCT;7;punct;;7;;
;;;;;;;;;;
1;Sarah;;NPR;NPR;2;nsubj;;2;;
2;vuelve;;V;V;0;ROOT;;0;;
3;a    ;;PREP;PREP;5;case;;5;;
4;el     ;;ART;ART;5;det;;5;;
5;museo;;N;N;2;nmod;;2;;
6;de;;PREP;PREP;7;case;;7;;
7;cera;;N;N;5;nmod;;5;;
8;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Las;;ART;ART;2;det;;2;;
2;piedras;;N;N;3;nsubj;;3;;
3;hablarán;;V;V;0;ROOT;;0;;
4;en;;PREP;PREP;5;case;;5;;
5;Río;;NPR;NPR;3;nmod;;3;;
6;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;No;;ADV;ADV;3;advmod;??????;3;;
2;se;;P;P;3;mark;;3;;
3;menciona;;V;V;0;ROOT;;0;;
4;si;;C;C;9;c;;7;;
5;en;;PREP;PREP;7;case;;7;;
6;la;;ART;ART;7;det;;7;;
7;investigación;;N;N;9;nmod;;3;;
8;ha;;AUX;AUX;9;aux;;9;;
9;participado;;V;V;3;ccomp;;7;;
10;Pamela_Anderson;;NPR;NPR;9;nsubj;;7;;
11;0;;PUNCT;PUNCT;3;punct;;10;;
12;la;;ART;ART;13;det;;13;;
13;actriz;;N;N;10;appos;;10;;
14;que;;P;P;19;nsubj;;17;;
15;hace;;PREP;PREP;17;case;;17;;
16;unos;;ART;ART;17;det;;17;;
17;días;;N;N;19;nmod;;13;;
18;se;;P;P;19;mark;;19;;
19;quitó;;V;V;13;acl:rel;;17;;
20;los;;ART;ART;21;det;;21;;
21;implantes;;N;N;19;dobj;;19;;
22;de;;PREP;PREP;23;case;;23;;
23;silicona;;N;N;21;nmod;;21;;
24;de;;PREP;PREP;26;case;;26;;
25;sus;;POSS;POSS;26;det;;26;;
26;pechos;;N;N;21;nmod;;21;;
27;.;;PUNCT;PUNCT;3;punct;;3;;
;;;;;;;;;;
1;Italia;;NPR;NPR;2;nsubj;error;2;;
2;pide;;V;V;0;ROOT;;0;;
3;el;;ART;ART;4;det;;4;;
4;fin;;N;N;2;dobj;;2;;
5;de;;PREP;PREP;7;case;;7;;
6;los;;ART;ART;7;det;;7;;
7;ataques;;N;N;4;nmod;;4;;
8;a;;PREP;PREP;9;case;;9;;
9;Yugoslavia;;NPR;NPR;2;iobj;;7;;
10;sin;;PREP;PREP;11;case;;11;;
11;condiciones;;N;N;2;nmod;;2;;
12;previas;;ADJ;ADJ;11;amod;;11;;
13;.;;PUNCT;PUNCT;2;punct;;2;;
;;;;;;;;;;
1;Los;;ART;ART;2;det;;2;copulativa;
2;bombardeos;;N;N;3;nsubj;;3;;
3;alcanzan;;V;V;0;ROOT;;0;;
4;un;;ART;ART;5;det;;5;;
5;hospital;;N;N;3;dobj;;3;;
6;en;;PREP;PREP;7;case;;7;;
7;Belgrado;;NPR;NPR;5;nmod;;5;;
8;y;;C;C;9;c;;3;;
9;dañan;;V;V;3;conj;;3;;
10;las;;ART;ART;11;det;;11;;
11;embajadas;;N;N;9;dobj;;9;;
12;de;;PREP;PREP;13;case;;13;;
13;España;;NPR;NPR;11;nmod;;11;;
14;0;;PUNCT;PUNCT;3;punct;;13;;
15;Suecia;;NPR;NPR;13;appos;;13;;
16;y;;C;C;17;c;;13;;
17;Suiza;;NPR;NPR;15;conj;;13;;
18;.;;PUNCT;PUNCT;3;punct;;3;;
